Word,Frequency
go,265
jurong,1
point,13
crazy,15
available,14
bugis,7
n,124
great,103
world,24
la,7
e,81
buffet,2
cine,7
got,243
amore,1
wat,91
ok,245
lar,38
joking,6
wif,27
u,997
oni,4
free,233
entry,21
two,467
wkly,9
comp,9
win,49
fa,2
cup,6
final,14
tkts,2
21st,2
may,41
2005,2
text,167
87121,2
receive,31
questionstd,1
txt,134
ratetcs,1
apply,24
08452810075over18s,1
dun,55
say,82
early,33
hor,2
c,73
already,90
nah,10
dont,266
think,130
goes,26
usf,11
lives,4
around,61
though,26
freemsg,12
hey,111
darling,5
three,62
weeks,17
word,29
back,145
id,30
like,231
fun,30
still,146
tb,4
xxx,31
std,6
chgs,1
send,162
pound150,18
rcv,2
even,56
brother,17
speak,30
treat,15
aids,1
patent,1
per,47
request,5
melle,2
oru,2
minnaminunginte,1
nurungu,1
vettam,1
set,17
callertune,4
callers,2
press,6
nine,20
copy,6
friends,45
winner,13
valued,8
network,25
customer,45
selected,24
receivea,1
pound900,6
prize,77
reward,7
claim,94
call,468
09061701461,1
code,27
kl341,1
valid,20
12,6
hours,18
mobile,112
11,6
months,12
r,137
entitled,5
update,17
latest,29
colour,15
mobiles,9
camera,22
co,3
08002986030,1
im,453
gon,59
na,106
home,151
soon,56
want,185
talk,44
stuff,43
anymore,8
tonight,59
k,68
ive,76
cried,1
enough,27
today,128
six,32
chances,1
cash,61
100,12
20000,1
pounds,17
csh11,1
87575,2
cost,29
150pday,1
6days,1
16,37
tsandcs,1
reply,123
hl,3
four,253
info,10
urgent,59
one,229
week,99
membership,2
pound100000,1
jackpot,1
81010,1
tc,18
lccltd,1
pobox,11
4403ldnw1a7rw18,1
searching,4
right,81
words,19
thank,28
breather,1
promise,9
wont,53
take,118
help,48
granted,1
fulfil,1
wonderful,15
blessing,2
times,24
date,17
sunday,8
xxxmobilemovieclub,1
use,41
credit,14
click,7
wap,9
link,10
next,62
message,67
xxxmobilemovieclubcomnqjkgighjjgcbl,1
oh,109
kim,1
watching,31
eh,12
remember,31
spell,3
name,40
yes,77
v,48
naughty,6
make,96
wet,5
fine,42
thats,97
way,94
feel,58
gota,1
b,65
england,7
macedonia,1
miss,69
goalsteam,1
news,14
ur,314
national,10
team,5
87077,7
eg,10
trywales,1
scotland,3
4txt120,1
poboxox36504w45wq,1
seriously,6
going,165
try,45
ha,16
pay,31
first,57
da,124
stock,5
comin,11
aft,19
finish,42
lunch,38
str,4
lor,155
ard,22
smth,16
ffffffffff,1
alright,23
meet,75
sooner,4
forced,1
eat,38
slice,2
really,84
hungry,14
tho,17
sucks,7
mark,8
getting,50
worried,9
knows,9
sick,9
turn,4
pizza,8
lol,73
always,51
convincing,1
catch,9
bus,28
frying,3
egg,3
tea,6
eating,7
moms,9
left,30
dinner,34
love,176
amp,55
packing,1
car,37
ill,208
let,68
know,239
theres,29
room,33
ahhh,1
work,86
vaguely,1
wait,58
clear,3
sure,70
sarcastic,2
x,45
doesnt,27
live,37
us,58
yeah,86
apologetic,1
fallen,1
actin,1
spoilt,1
child,3
caught,3
till,21
badly,1
cheers,8
tell,127
anything,69
fear,2
fainting,1
housework,1
quick,8
cuppa,1
thanks,75
subscription,4
ringtone,23
uk,12
charged,11
pound5month,1
please,116
confirm,10
replying,7
yup,40
look,30
timings,1
msg,70
xuhui,3
learn,6
2nd,26
lesson,17
8am,2
oops,10
roommates,5
done,47
see,149
letter,4
decide,8
hello,43
hows,44
saturday,13
texting,6
youd,8
decided,15
tomo,17
trying,41
invite,3
pls,86
ahead,6
watts,1
wanted,26
weekend,30
abiola,11
forget,16
need,162
crave,11
sweet,27
arabian,1
steed,1
mmmmmm,2
yummy,3
07732584351,1
rodger,1
burns,2
tried,20
sms,35
nokia,50
camcorder,13
08000930705,14
delivery,18
tomorrow,79
seeing,12
hope,100
man,35
well,130
endowed,1
ltgt,254
inches,4
callsmessagesmissed,1
calls,20
didnt,78
get,362
hep,1
