Word,Frequency
free,178
entry,21
two,152
wkly,9
comp,8
win,42
fa,2
cup,3
final,12
tkts,2
21st,1
may,6
2005,2
text,100
87121,2
receive,26
questionstd,1
txt,121
ratetcs,1
apply,22
08452810075over18s,1
freemsg,12
hey,5
darling,2
three,20
weeks,11
word,18
back,19
id,3
like,12
fun,8
still,5
tb,1
ok,5
xxx,10
std,6
chgs,1
send,54
pound150,18
rcv,2
winner,13
valued,7
network,22
customer,38
selected,21
receivea,1
pound900,6
prize,77
reward,7
claim,94
call,288
09061701461,1
code,26
kl341,1
valid,20
12,2
hours,4
mobile,99
11,2
months,3
u,122
r,18
entitled,5
update,12
latest,26
colour,11
mobiles,9
camera,19
co,2
08002986030,1
six,8
chances,1
cash,49
100,11
20000,1
pounds,15
csh11,1
87575,2
cost,19
150pday,1
6days,1
16,36
tsandcs,1
reply,88
hl,3
four,92
info,8
urgent,57
one,34
week,37
membership,1
pound100000,1
jackpot,1
81010,1
tc,17
lccltd,1
pobox,11
4403ldnw1a7rw18,1
xxxmobilemovieclub,1
use,8
credit,9
click,5
wap,9
link,6
next,16
message,28
xxxmobilemovieclubcomnqjkgighjjgcbl,1
england,6
v,3
macedonia,1
dont,14
miss,4
goalsteam,1
news,8
ur,117
national,10
team,2
87077,7
eg,10
trywales,1
scotland,1
4txt120,1
poboxox36504w45wq,1
thanks,14
subscription,4
ringtone,23
uk,11
charged,11
pound5month,1
please,45
confirm,1
replying,5
yes,11
07732584351,1
rodger,1
burns,1
msg,26
tried,15
sms,22
nokia,48
camcorder,13
08000930705,14
delivery,17
tomorrow,10
ac,4
sptv,2
new,63
jersey,1
devils,1
detroit,1
red,1
wings,1
play,13
ice,1
hockey,1
correct,4
incorrect,1
end,13
congrats,5
year,3
special,5
cinema,1
pass,3
09061209465,1
c,16
suprman,1
matrix3,1
starwars3,1
etc,4
bx420ip45we,1
150pm,3
pleased,2
advise,2
following,4
recent,2
review,3
mob,18
awarded,30
pound1500,3
bonus,17
09066364589,1
complimentary,10
trip,2
eurodisinc,1
trav,1
acoentry41,1
pound1000,26
dis,1
18sixpound150morefrmmob,1
shracomorsglsupltten,1
ls1,1
3aj,1
hear,3
divorce,1
barbie,1
comes,3
kens,1
stuff,1
service,48
representative,6
0800,9
169,1
6031,1
10am9pm,1
guaranteed,40
pound5000,13
waiting,15
collected,1
simply,2
password,2
mix,2
85069,1
verify,2
get,67
usher,1
britney,1
fml,1
gent,1
trying,13
contact,48
last,11
weekends,6
draw,32
shows,28
09064012160,1
k52,2
12hrs,15
150ppm,28
specially,8
holiday,26
flights,5
inc,7
speak,7
live,21
operator,10
0871277810910pmin,1
18,36
private,16
2004,7
account,18
statement,15
07742676969,1
786,3
unredeemed,15
points,15
08719180248,1
identifier,15
45239,2
expires,16
pound2000,29
caller,12
fivenine03,1
try,6
landline,27
09064019788,1
box42wr29c,1
todays,17
voda,5
numbers,8
ending,7
7548,1
dollar350,1
award,24
match,6
08712300220,6
quoting,5
4041,1
standard,6
rates,7
app,4
sunshine,5
quiz,8
q,2
top,13
sony,5
dvd,5
player,9
know,18
country,2
algarve,1
ansr,2
82277,3
sptyrone,2
want,27
laid,3
